Date,Collected?,Depth_type,Depth_(cm),# Victorian Alpine Resorts - Daily Snow Depth Records - Lake Mountain 1993-2023. CC-BY Alpine Resorts Victoria
4/9/1995,Yes,Natural,30,
5/9/1995,Yes,Natural,36,
6/9/1995,Yes,Natural,55,
7/9/1995,Yes,Natural,55,
8/9/1995,Yes,Natural,55,
9/9/1995,Yes,Natural,57,
10/9/1995,Yes,Natural,55,
11/9/1995,Yes,Natural,50,
12/9/1995,Yes,Natural,50,
13/9/1995,Yes,Natural,50,
14/9/1995,Yes,Natural,45,
15/9/1995,Yes,Natural,40,
16/9/1995,Yes,Natural,35,
17/9/1995,Yes,Natural,30,
18/9/1995,Yes,Natural,25,
19/9/1995,Yes,Natural,20,
20/9/1995,Yes,Natural,20,
21/9/1995,Yes,Natural,20,
22/9/1995,Yes,Natural,15,
23/9/1995,Yes,Natural,15,
24/9/1995,Yes,Natural,10,
25/9/1995,Yes,Natural,10,
26/9/1995,Yes,Natural,10,
27/9/1995,Yes,Natural,10,
28/9/1995,Yes,Natural,10,
29/9/1995,Yes,Natural,10,
30/9/1995,Yes,Natural,10,
1/10/1995,Yes,Natural,8,
2/10/1995,Yes,Natural,8,
3/10/1995,Yes,Natural,0,
4/10/1995,Yes,Natural,0,
5/10/1995,Yes,Natural,0,
6/10/1995,Yes,Natural,0,
7/10/1995,Yes,Natural,0,
8/10/1995,No,,,
9/10/1995,No,,,
5/6/1996,Yes,Natural,0,
6/6/1996,Yes,Natural,0,
7/6/1996,Yes,Natural,0,
8/6/1996,Yes,Natural,0,
9/6/1996,Yes,Natural,0,
10/6/1996,Yes,Natural,0,
11/6/1996,Yes,Natural,0,
12/6/1996,Yes,Natural,0,
13/6/1996,Yes,Natural,0,
14/6/1996,Yes,Natural,0,
15/6/1996,Yes,Natural,0,
16/6/1996,Yes,Natural,0,
17/6/1996,Yes,Natural,0,
18/6/1996,Yes,Natural,0,
19/6/1996,Yes,Natural,0,
20/6/1996,Yes,Natural,0,
21/6/1996,Yes,Natural,0,
22/6/1996,Yes,Natural,0,
23/6/1996,Yes,Natural,0,
24/6/1996,Yes,Natural,0,
25/6/1996,Yes,Natural,0,
26/6/1996,Yes,Natural,0,
27/6/1996,Yes,Natural,0,
28/6/1996,Yes,Natural,0,
29/6/1996,Yes,Natural,0,
30/6/1996,Yes,Natural,0,
1/7/1996,Yes,Natural,0,
2/7/1996,Yes,Natural,0,
3/7/1996,Yes,Natural,0,
4/7/1996,Yes,Natural,0,
5/7/1996,Yes,Natural,0,
6/7/1996,Yes,Natural,0,
7/7/1996,Yes,Natural,0,
8/7/1996,Yes,Natural,2,
9/7/1996,Yes,Natural,2,
10/7/1996,Yes,Natural,2,
11/7/1996,Yes,Natural,2,
12/7/1996,Yes,Natural,3,
13/7/1996,Yes,Natural,11,
14/7/1996,Yes,Natural,11,
15/7/1996,Yes,Natural,13,
16/7/1996,Yes,Natural,13,
17/7/1996,Yes,Natural,13,
18/7/1996,Yes,Natural,10,
