Date,Collected?,Depth_type,Depth_(cm),,
27/6/1995,Yes,Natural,5,,
28/6/1995,Yes,Natural,7,,
29/6/1995,Yes,Natural,10,,
30/6/1995,Yes,Natural,23,,
1/7/1995,Yes,Natural,35,,
2/7/1995,Yes,Natural,40,,
3/7/1995,Yes,Natural,40,,
4/7/1995,Yes,Natural,40,,
5/7/1995,Yes,Natural,40,,
6/7/1995,Yes,Natural,42,,
7/7/1995,Yes,Natural,42,,
8/7/1995,Yes,Natural,42,,
9/7/1995,Yes,Natural,42,,
10/7/1995,Yes,Natural,42,,
11/7/1995,Yes,Natural,52,,
12/7/1995,Yes,Natural,60,,
13/7/1995,Yes,Natural,63,,
14/7/1995,Yes,Natural,68,,
15/7/1995,Yes,Natural,74,,
16/7/1995,Yes,Natural,76,,
17/7/1995,Yes,Natural,76,,
18/7/1995,Yes,Natural,82,,
19/7/1995,Yes,Natural,92,,
20/7/1995,Yes,Natural,93,,
21/7/1995,Yes,Natural,93,,
22/7/1995,Yes,Natural,93,,
23/7/1995,Yes,Natural,97,,
24/7/1995,Yes,Natural,97,,
25/7/1995,Yes,Natural,97,,
26/7/1995,Yes,Natural,97,,
27/7/1995,Yes,Natural,97,,
28/7/1995,Yes,Natural,97,,
29/7/1995,Yes,Natural,105,,
30/7/1995,Yes,Natural,109,,
31/7/1995,Yes,Natural,111,,
1/8/1995,Yes,Natural,120,,
2/8/1995,Yes,Natural,130,,
3/8/1995,Yes,Natural,155,,
4/8/1995,Yes,Natural,152,,
5/8/1995,Yes,Natural,157,,
6/8/1995,Yes,Natural,157,,
7/8/1995,Yes,Natural,165,,
8/8/1995,Yes,Natural,165,,
9/8/1995,Yes,Natural,165,,
10/8/1995,Yes,Natural,165,,
11/8/1995,Yes,Natural,165,,
12/8/1995,Yes,Natural,165,,
13/8/1995,Yes,Natural,157,,
14/8/1995,Yes,Natural,154,,
15/8/1995,Yes,Natural,150,,
16/8/1995,Yes,Natural,145,,
17/8/1995,Yes,Natural,130,,
18/8/1995,Yes,Natural,115,,
19/8/1995,Yes,Natural,110,,
20/8/1995,Yes,Natural,105,,
21/8/1995,Yes,Natural,95,,
22/8/1995,Yes,Natural,90,,
23/8/1995,Yes,Natural,85,,
24/8/1995,Yes,Natural,85,,
25/8/1995,Yes,Natural,85,,
26/8/1995,Yes,Natural,75,,
27/8/1995,Yes,Natural,75,,
28/8/1995,Yes,Natural,68,,
29/8/1995,Yes,Natural,68,,
30/8/1995,Yes,Natural,60,,
31/8/1995,Yes,Natural,61,,
1/9/1995,Yes,Natural,61,,
2/9/1995,Yes,Natural,61,,
3/9/1995,Yes,Natural,61,,
4/9/1995,Yes,Natural,60,,
5/9/1995,Yes,Natural,64,,
6/9/1995,Yes,Natural,70,,
7/9/1995,Yes,Natural,70,,
8/9/1995,Yes,Natural,70,,
9/9/1995,Yes,Natural,70,,
10/9/1995,Yes,Natural,70,,
11/9/1995,Yes,Natural,70,,
12/9/1995,Yes,Natural,70,,
13/9/1995,Yes,Natural,65,,
14/9/1995,Yes,Natural,62,,
15/9/1995,Yes,Natural,60,,
16/9/1995,Yes,Natural,58,,
17/9/1995,Yes,Natural,55,,
18/9/1995,Yes,Natural,55,,
19/9/1995,Yes,Natural,50,,
20/9/1995,Yes,Natural,40,,
21/9/1995,Yes,Natural,38,,
22/9/1995,Yes,Natural,33,,
23/9/1995,Yes,Natural,33,,
24/9/1995,Yes,Natural,31,,
25/9/1995,Yes,Natural,25,,
26/9/1995,Yes,Natural,23,,
27/9/1995,Yes,Natural,20,,
28/9/1995,Yes,Natural,20,,
29/9/1995,Yes,Natural,20,,
30/9/1995,Yes,Natural,20,,
1/10/1995,Yes,Natural,18,,
2/10/1995,Yes,Natural,18,,
3/10/1995,Yes,Natural,17,,
4/10/1995,Yes,Natural,17,,
5/10/1995,Yes,Natural,12,,
6/10/1995,Yes,Natural,12,,
7/10/1995,Yes,Natural,12,,
8/10/1995,No,,,,
9/10/1995,No,,,,
5/6/1996,Yes,Natural,0,,
6/6/1996,Yes,Natural,0,,
7/6/1996,Yes,Natural,0,,
8/6/1996,Yes,Natural,0,,
9/6/1996,Yes,Natural,0,,
10/6/1996,Yes,Natural,0,,
11/6/1996,Yes,Natural,0,,
12/6/1996,Yes,Natural,0,,
13/6/1996,Yes,Natural,0,,
14/6/1996,Yes,Natural,0,,
15/6/1996,Yes,Natural,0,,
16/6/1996,Yes,Natural,0,,
17/6/1996,Yes,Natural,0,,
18/6/1996,Yes,Natural,0,,
19/6/1996,Yes,Natural,0,,
20/6/1996,Yes,Natural,0,,
21/6/1996,Yes,Natural,0,,
22/6/1996,Yes,Natural,0,,
23/6/1996,Yes,Natural,0,,
24/6/1996,Yes,Natural,0,,
25/6/1996,Yes,Natural,0,,
26/6/1996,Yes,Natural,0,,
27/6/1996,Yes,Natural,12,,
28/6/1996,Yes,Natural,12,,
29/6/1996,Yes,Natural,12,,
30/6/1996,Yes,Natural,16,,
1/7/1996,Yes,Natural,30,,
2/7/1996,Yes,Natural,30,,
3/7/1996,Yes,Natural,30,,
4/7/1996,Yes,Natural,30,,
5/7/1996,Yes,Natural,25,,
6/7/1996,Yes,Natural,27,,
7/7/1996,Yes,Natural,32,,
8/7/1996,Yes,Natural,33,,
9/7/1996,Yes,Natural,33,,
10/7/1996,Yes,Natural,33,,
11/7/1996,Yes,Natural,33,,
12/7/1996,Yes,Natural,38,,
13/7/1996,Yes,Natural,40,,
14/7/1996,Yes,Natural,40,,
15/7/1996,Yes,Natural,40,,
16/7/1996,Yes,Natural,40,,
17/7/1996,Yes,Natural,40,,
18/7/1996,Yes,Natural,42,,
19/7/1996,Yes,Natural,40,,
20/7/1996,Yes,Natural,40,,
21/7/1996,Yes,Natural,44,,
22/7/1996,Yes,Natural,49,,
23/7/1996,Yes,Natural,52,,
24/7/1996,Yes,Natural,58,,
25/7/1996,Yes,Natural,58,,
26/7/1996,Yes,Natural,58,,
27/7/1996,Yes,Natural,58,,
28/7/1996,Yes,Natural,52,,
29/7/1996,Yes,Natural,50,,
30/7/1996,Yes,Natural,50,,
31/7/1996,Yes,Natural,50,,
1/8/1996,Yes,Natural,50,,
