Product code,Bureau of Meteorology station number,Year,Month,min_t_(C),Quality
IDCJAC0004,083024,2004,01,7.1,Y
IDCJAC0004,083024,2004,02,10,Y
IDCJAC0004,083024,2004,03,7.4,Y
IDCJAC0004,083024,2004,04,4.5,Y
IDCJAC0004,083024,2004,05,-0.7,Y
IDCJAC0004,083024,2004,06,-1.8,Y
IDCJAC0004,083024,2004,07,-3.5,Y
IDCJAC0004,083024,2004,08,-1.9,Y
IDCJAC0004,083024,2004,09,-0.7,Y
IDCJAC0004,083024,2004,10,2.4,Y
IDCJAC0004,083024,2004,11,4.1,Y
IDCJAC0004,083024,2004,12,6.3,Y
IDCJAC0004,083024,2005,01,8.7,Y
IDCJAC0004,083024,2005,02,7.1,Y
IDCJAC0004,083024,2005,03,5.4,Y
IDCJAC0004,083024,2005,04,6,Y
IDCJAC0004,083024,2005,05,2.6,Y
IDCJAC0004,083024,2005,06,2.6,Y
IDCJAC0004,083024,2005,07,-2,Y
IDCJAC0004,083024,2005,09,-0.1,Y
IDCJAC0004,083024,2005,10,2.3,Y
IDCJAC0004,083024,2005,11,5.2,Y
IDCJAC0004,083024,2005,12,5.1,Y
IDCJAC0004,083024,2006,01,12.1,Y
IDCJAC0004,083024,2006,02,9.3,Y
IDCJAC0004,083024,2006,03,8.7,Y
IDCJAC0004,083024,2006,04,0.3,Y
IDCJAC0004,083024,2006,05,-0.5,Y
IDCJAC0004,083024,2006,06,-2.2,Y
IDCJAC0004,083024,2006,07,-1.8,Y
IDCJAC0004,083024,2006,08,-1.5,Y
IDCJAC0004,083024,2006,09,0.2,Y
IDCJAC0004,083024,2006,10,2.2,Y
IDCJAC0004,083024,2006,11,5.4,Y
IDCJAC0004,083024,2006,12,6.7,Y
IDCJAC0004,083024,2007,01,9.4,Y
IDCJAC0004,083024,2007,02,11.3,Y
IDCJAC0004,083024,2007,03,7.3,Y
IDCJAC0004,083024,2007,04,5,Y
IDCJAC0004,083024,2007,05,2.8,Y
IDCJAC0004,083024,2007,06,-2.7,Y
IDCJAC0004,083024,2007,07,-3.7,Y
IDCJAC0004,083024,2007,08,-0.6,Y
IDCJAC0004,083024,2007,09,-1.1,Y
IDCJAC0004,083024,2007,10,2.3,Y
IDCJAC0004,083024,2007,11,7.2,Y
IDCJAC0004,083024,2007,12,7.3,Y
IDCJAC0004,083024,2008,01,11.5,Y
IDCJAC0004,083024,2008,02,6.5,Y
IDCJAC0004,083024,2008,03,8,Y
IDCJAC0004,083024,2008,04,2.3,Y
IDCJAC0004,083024,2008,05,1,Y
IDCJAC0004,083024,2008,06,0.5,Y
IDCJAC0004,083024,2008,07,-3.3,Y
IDCJAC0004,083024,2008,08,-3.7,Y
IDCJAC0004,083024,2008,09,-1,Y
IDCJAC0004,083024,2008,10,3,Y
IDCJAC0004,083024,2008,11,3.9,Y
IDCJAC0004,083024,2008,12,4.6,Y
IDCJAC0004,083024,2009,01,9.5,Y
IDCJAC0004,083024,2009,02,10,Y
IDCJAC0004,083024,2009,03,6.9,Y
IDCJAC0004,083024,2009,04,2.4,Y
IDCJAC0004,083024,2009,05,1.3,Y
IDCJAC0004,083024,2009,06,-1.1,Y
IDCJAC0004,083024,2009,07,-2.6,Y
IDCJAC0004,083024,2009,08,-2.3,Y
IDCJAC0004,083024,2009,09,-1,Y
IDCJAC0004,083024,2009,10,1.4,Y
IDCJAC0004,083024,2009,11,8.9,Y
IDCJAC0004,083024,2009,12,7.2,Y
IDCJAC0004,083024,2010,01,9.8,Y
IDCJAC0004,083024,2010,02,10.7,Y
IDCJAC0004,083024,2010,03,7.6,Y
IDCJAC0004,083024,2010,04,4.8,Y
IDCJAC0004,083024,2010,05,1,Y
IDCJAC0004,083024,2010,06,-1.5,Y
IDCJAC0004,083024,2010,07,-2.6,Y
IDCJAC0004,083024,2010,08,-4.3,Y
IDCJAC0004,083024,2010,09,-2.1,Y
IDCJAC0004,083024,2010,10,1.4,Y
IDCJAC0004,083024,2010,11,4.9,Y
IDCJAC0004,083024,2010,12,5,Y
IDCJAC0004,083024,2011,01,9.6,Y
IDCJAC0004,083024,2011,02,8.5,Y
IDCJAC0004,083024,2011,03,5.8,Y
IDCJAC0004,083024,2011,04,2.2,Y
IDCJAC0004,083024,2011,05,-0.9,Y
IDCJAC0004,083024,2011,06,-2,Y
IDCJAC0004,083024,2011,07,-3.4,Y
IDCJAC0004,083024,2011,08,-1.4,Y
IDCJAC0004,083024,2011,09,-0.9,Y
IDCJAC0004,083024,2011,10,-0.7,Y
IDCJAC0004,083024,2011,11,6.7,Y
IDCJAC0004,083024,2011,12,5.6,Y
IDCJAC0004,083024,2012,01,8.1,Y
IDCJAC0004,083024,2012,02,8.2,Y
IDCJAC0004,083024,2012,03,5.2,Y
IDCJAC0004,083024,2012,04,3.6,Y
IDCJAC0004,083024,2012,05,-0.6,Y
IDCJAC0004,083024,2012,06,-1,Y
IDCJAC0004,083024,2012,07,-2.9,Y
IDCJAC0004,083024,2012,08,-3.7,Y
IDCJAC0004,083024,2012,09,-1,Y
IDCJAC0004,083024,2012,10,0.9,Y
IDCJAC0004,083024,2012,11,7.6,Y
IDCJAC0004,083024,2012,12,6.1,Y
IDCJAC0004,083024,2013,01,10.3,Y
IDCJAC0004,083024,2013,02,10.2,Y
IDCJAC0004,083024,2013,03,7.3,Y
IDCJAC0004,083024,2013,04,3.5,Y
IDCJAC0004,083024,2013,05,0.6,Y
IDCJAC0004,083024,2013,06,-0.9,Y
IDCJAC0004,083024,2013,07,-1.6,Y
IDCJAC0004,083024,2013,08,-2.2,Y
IDCJAC0004,083024,2013,09,1.2,Y
IDCJAC0004,083024,2013,10,0.8,Y
IDCJAC0004,083024,2013,11,3.2,Y
IDCJAC0004,083024,2013,12,6.9,Y
IDCJAC0004,083024,2014,01,9.9,Y
IDCJAC0004,083024,2014,02,10.4,Y
IDCJAC0004,083024,2014,03,7.5,Y
IDCJAC0004,083024,2014,04,4,Y
